date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:44	439625/439625	UR-MCZ	200	added ('OK')	application/javascript	etag:%226b549-59c4e9d82057a-gzip%22	https://themesbrand.com/skote/layouts/vertical/assets/libs/tinymce/tinymce.min.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/tinymce/tinymce.min.js	(from https://themesbrand.com/skote/layouts/vertical/form-editors.html)
20:08:44	1169501/1169501	UR-MCZ	200	added ('OK')	application/javascript	etag:%2211d85d-59c4e9d7fe297-gzip%22	https://themesbrand.com/skote/layouts/vertical/assets/libs/pdfmake/build/pdfmake.min.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/pdfmake/build/pdfmake.min.js	(from https://themesbrand.com/skote/layouts/vertical/tables-datatable.html)
20:08:45	74712/74712	---M--	200	added ('OK')	text/html	etag:%22123d8-59c4e9d7bcbb3%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.woff2	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.html	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:46	226227/226227	UR-MCZ	200	added ('OK')	application/javascript	etag:%22373b3-59c4e9d7e2d16-gzip%22	https://themesbrand.com/skote/layouts/vertical/assets/libs/chart.js/Chart.bundle.min.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/chart.js/Chart.bundle.min.js	(from https://themesbrand.com/skote/layouts/vertical/charts-chartjs.html)
20:08:46	926228/926228	UR-MCZ	200	added ('OK')	application/javascript	etag:%22e2214-59c4e9d806f38-gzip%22	https://themesbrand.com/skote/layouts/vertical/assets/libs/pdfmake/build/vfs_fonts.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/pdfmake/build/vfs_fonts.js	(from https://themesbrand.com/skote/layouts/vertical/tables-datatable.html)
20:08:46	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:46%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-world-mill-en.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-world-mill-en.js	(from https://themesbrand.com/skote/layouts/vertical/maps-vector.html)
20:08:46	703012/703012	UR-MCZ	200	added ('OK')	application/javascript	etag:%22aba24-59c4e9d82539a-gzip%22	https://themesbrand.com/skote/layouts/vertical/assets/libs/tui-chart/tui-chart-all.min.js	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/libs/tui-chart/tui-chart-all.min.js	(from https://themesbrand.com/skote/layouts/vertical/charts-tui.html)
20:08:48	209168/209168	---M--	200	added ('OK')	application/font-woff	etag:%2233110-59c4e9d7bcbb3%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.woff	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.woff	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:48	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:48%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont.eot?v=4.4.95	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont2f9b.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:48	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:48%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont.woff?v=4.4.95	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont2f9b.woff	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:48	754852/754852	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b84a4-59c4e9d7cb614%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont.eot?	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfontd41d.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:50	209092/209092	---M--	200	added ('OK')	application/font-sfnt	etag:%22330c4-59c4e9d7bbc13%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.ttf	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.ttf	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:50	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:50%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont.ttf?v=4.4.95	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/materialdesignicons-webfont2f9b.ttf	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:50	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:50%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.eot	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
